Tematica,Nombre base,Entidad,Enlace
Seguridad ciudadana y justicia,Gestión de PQRS unificado Minjusticia,Ministerio de Justicia y del Derecho,https://www.datos.gov.co/d/npcj-hpw7
Seguridad ciudadana y justicia,Procesos en Casas de Justicia,Ministerio de Justicia y del Derecho,https://www.datos.gov.co/d/fuyf-sb4r
Seguridad ciudadana y justicia,Caracterización de Personas en Casas de Justicia,Ministerio de Justicia y del Derecho,https://www.datos.gov.co/d/yh8b-89bi
Seguridad ciudadana y justicia,Hurto personas,Ministerio de Defensa Nacional,https://www.datos.gov.co/d/4rxi-8m8d
Seguridad ciudadana y justicia,Delitos informáticos,Ministerio de Defensa Nacional,https://www.datos.gov.co/d/4v6r-wu98
Seguridad ciudadana y justicia,Frentes de Seguridad Policía Nacional,Dirección General de la Policía Nacional,https://www.datos.gov.co/d/cmxv-8tb9
Seguridad ciudadana y justicia,Reporte Capturas Policía Nacional,Dirección General de la Policía Nacional,https://www.datos.gov.co/d/3jdh-nmwu
Seguridad ciudadana y justicia,Directorio de Casas de Justicia y Centros de Convivencia Ciudadana.,Ministerio de Justicia y del Derecho,https://www.datos.gov.co/d/bmcc-69wd
Seguridad ciudadana y justicia,Zonas y Distritos Militares Ejército Nacional,Ejército Nacional de Colombia,https://www.datos.gov.co/Seguridad-y-Defensa/ZONAS-Y-DISTRITOS-MILITARES-EJERCITO-NACIONAL/ii2p-naes/about_data
Seguridad ciudadana y justicia,Solicitudes de conciliación,Ministerio de Justicia y del Derecho,https://www.datos.gov.co/d/xm4c-2rks
Salud y bienestar,Clicsalud - Termómetro de Precios de Medicamentos,Ministerio de Salud y Protección Social,https://www.datos.gov.co/d/n4dj-8r7k
Salud y bienestar,Clicsalud- Indicadores de calidad EPS,Ministerio de Salud y Protección Social,https://www.datos.gov.co/d/vw9t-pugy
Salud y bienestar,"Indicadores mortalidad y morbilidad según departamento, municipio y año",Ministerio de Salud y Protección Social,https://www.datos.gov.co/d/4e4i-ua65
Salud y bienestar,Recursos del Sistema General Giros,Ministerio de Salud y Protección Social,https://www.datos.gov.co/d/i5t3-2ui7
